행정구역,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,oldAgePercent,childAgePercent,adultAgePercent
상주시 ,93858.0,93858.0,4282.0,7215.0,6898.0,6501.0,10345.0,15483.0,19811.0,12614.0,9114.0,1549.0,46.0,45.956657930064566,12.249355409235228,41.793986660700206
문경시 ,68755.0,68755.0,3241.0,5160.0,5438.0,4958.0,7841.0,11285.0,14359.0,9325.0,6192.0,923.0,33.0,44.84328412479092,12.218747727438004,42.93796814777107
경산시 ,266205.0,266205.0,16781.0,22718.0,35159.0,30931.0,39488.0,46646.0,40118.0,21707.0,11187.0,1436.0,34.0,27.979188970905884,14.837812963693397,57.18299806540072
의성군 ,50086.0,50086.0,1635.0,2108.0,2513.0,2865.0,4163.0,7817.0,12512.0,8730.0,6690.0,1025.0,28.0,57.87046280397716,7.473146188555685,34.65639100746716
청송군 ,24019.0,24019.0,822.0,1056.0,1365.0,1503.0,2078.0,4068.0,5917.0,3987.0,2822.0,396.0,5.0,54.6525667180149,7.818810108663975,37.52862317332112
영양군 ,15661.0,15661.0,528.0,871.0,866.0,882.0,1410.0,2668.0,3714.0,2471.0,1955.0,283.0,13.0,53.866292063086654,8.93301832577741,37.20068961113594
영덕군 ,34055.0,34055.0,1215.0,1860.0,1959.0,1963.0,3262.0,5711.0,7561.0,5557.0,4323.0,629.0,15.0,53.105270885332544,9.029511085009544,37.8652180296579
청도군 ,41316.0,41316.0,1237.0,2125.0,2229.0,2297.0,3928.0,6850.0,10203.0,7036.0,4582.0,812.0,17.0,54.82137670636074,8.13728337689999,37.04133991673928
고령군 ,30139.0,30139.0,1068.0,1770.0,2066.0,1842.0,3242.0,5534.0,6959.0,4363.0,2858.0,429.0,8.0,48.49862304655098,9.4163708152228,42.08500613822622
성주군 ,42086.0,42086.0,1509.0,2125.0,2608.0,2952.0,4181.0,7562.0,10446.0,6378.0,3684.0,627.0,14.0,50.25186522834196,8.634700375421755,41.11343439623628
칠곡군 ,110581.0,110581.0,6851.0,10934.0,10205.0,11844.0,19634.0,20918.0,16359.0,8065.0,4972.0,773.0,26.0,27.3057758566119,16.083233105144647,56.61099103824346
예천군 ,55325.0,55325.0,3978.0,4693.0,3792.0,5046.0,7111.0,7752.0,10050.0,6724.0,5317.0,844.0,18.0,41.4875734297334,15.672842295526436,42.839584274740176
봉화군 ,29603.0,29603.0,971.0,1718.0,1589.0,1496.0,2723.0,4992.0,7449.0,4608.0,3481.0,563.0,13.0,54.43367226294632,9.083538830523931,36.48278890652975
울진군 ,46669.0,46669.0,2380.0,3317.0,3887.0,3782.0,5581.0,8174.0,9148.0,5511.0,4119.0,754.0,16.0,41.88647710471619,12.207246780518116,45.906276114765696
울릉군 ,9077.0,9077.0,310.0,441.0,794.0,813.0,1195.0,1821.0,1954.0,1120.0,538.0,91.0,0.0,40.79541698799163,8.273658697807646,50.93092431420073
전국  ,51325329.0,51325329.0,3332892.0,4651460.0,6197486.0,6575548.0,7922134.0,8695699.0,7630708.0,3966203.0,2045024.0,299638.0,8537.0,27.17977706484843,15.556358148235152,72.13119861345653
서울특별시  ,9386034.0,9386034.0,513562.0,733211.0,1355811.0,1427405.0,1420073.0,1495557.0,1315938.0,738469.0,339214.0,45346.0,1448.0,26.000491794510864,13.283278112992134,74.736400912249
부산광역시  ,3293362.0,3293362.0,194403.0,263339.0,377587.0,390659.0,484716.0,541925.0,560720.0,320407.0,141906.0,17268.0,432.0,31.600929384622766,13.898927600427768,71.52590574616455
대구광역시  ,2374960.0,2374960.0,150403.0,214121.0,282470.0,279965.0,356114.0,420799.0,365980.0,195523.0,96888.0,12432.0,265.0,28.256812746319937,15.348637450736014,71.80449354936505
인천광역시  ,2997410.0,2997410.0,202329.0,272079.0,364103.0,413085.0,480780.0,516033.0,441411.0,197825.0,94397.0,14877.0,491.0,24.988273209203943,15.827264204763448,73.91087638994999
광주광역시  ,1419237.0,1419237.0,99779.0,147525.0,190905.0,174075.0,227259.0,240674.0,184732.0,99128.0,48185.0,6768.0,207.0,23.88748320400328,17.42513759153686,71.70366894324204
대전광역시  ,1442216.0,1442216.0,96727.0,137836.0,199228.0,187965.0,220131.0,243258.0,202026.0,99140.0,48573.0,7121.0,211.0,24.758496646826828,16.264068627722892,72.98546126239064
울산광역시  ,1103661.0,1103661.0,79086.0,109462.0,122522.0,136909.0,178114.0,204814.0,169307.0,71586.0,28057.0,3725.0,79.0,24.7135669376738,17.083869050369632,73.54305352821201
세종특별자치시  ,386525.0,386525.0,43541.0,50736.0,37810.0,59340.0,77183.0,54433.0,37233.0,16478.0,8234.0,1494.0,43.0,16.42377595239635,24.390919086734364,68.81805834034022
