진료년도,상별구분,시도,시군구,성별,연령구분,환자수,입내원일수,요양급여비용
2018,우울증,서울,영등포구,여,70~79세,722,4211,277955160
2018,우울증,서울,영등포구,여,80~89세,333,1871,142792670
2018,우울증,서울,영등포구,여,90~99세,23,175,10906920
2018,우울증,서울,영등포구,여,100세 이상,0,0,0
2018,우울증,서울,용산구,남,0~9세,0,0,0
2018,우울증,서울,용산구,남,10~19세,40,458,57257710
2018,우울증,서울,용산구,남,20~29세,153,1027,102891580
2018,우울증,서울,용산구,남,30~39세,125,831,53767390
2018,우울증,서울,용산구,남,40~49세,136,813,69220920
2018,우울증,서울,용산구,남,50~59세,97,463,36203930
2018,우울증,서울,용산구,남,60~69세,83,353,23979270
2018,우울증,서울,용산구,남,70~79세,92,395,30326590
2018,우울증,서울,용산구,남,80~89세,52,183,9743020
2018,우울증,서울,용산구,남,90~99세,0,0,0
2018,우울증,서울,용산구,남,100세 이상,0,0,0
2018,우울증,서울,용산구,여,0~9세,0,0,0
2018,우울증,서울,용산구,여,10~19세,61,668,88349490
2018,우울증,서울,용산구,여,20~29세,270,1726,129060300
2018,우울증,서울,용산구,여,30~39세,244,1586,120384660
2018,우울증,서울,용산구,여,40~49세,206,1150,97258240
2018,우울증,서울,용산구,여,50~59세,227,1208,90693760
2018,우울증,서울,용산구,여,60~69세,242,1386,111928550
2018,우울증,서울,용산구,여,70~79세,203,1098,91243010
2018,우울증,서울,용산구,여,80~89세,128,579,67648250
2018,우울증,서울,용산구,여,90~99세,11,53,4898430
2018,우울증,서울,용산구,여,100세 이상,0,0,0
2018,우울증,서울,은평구,남,0~9세,0,0,0
2018,우울증,서울,은평구,남,10~19세,138,960,47988300
2018,우울증,서울,은평구,남,20~29세,331,2710,137754250
2018,우울증,서울,은평구,남,30~39세,222,1434,70611590
2018,우울증,서울,은평구,남,40~49세,245,1706,81177890
2018,우울증,서울,은평구,남,50~59세,260,1738,79061170
2018,우울증,서울,은평구,남,60~69세,263,1742,72163580
2018,우울증,서울,은평구,남,70~79세,241,1554,58202260
2018,우울증,서울,은평구,남,80~89세,120,774,24005160
2018,우울증,서울,은평구,남,90~99세,0,0,0
2018,우울증,서울,은평구,남,100세 이상,0,0,0
2018,우울증,서울,은평구,여,0~9세,0,0,0
2018,우울증,서울,은평구,여,10~19세,268,1751,75411030
2018,우울증,서울,은평구,여,20~29세,628,4299,196866180
2018,우울증,서울,은평구,여,30~39세,543,4021,190456870
2018,우울증,서울,은평구,여,40~49세,524,3878,184268710
2018,우울증,서울,은평구,여,50~59세,671,4723,203587990
2018,우울증,서울,은평구,여,60~69세,754,5752,231527020
2018,우울증,서울,은평구,여,70~79세,664,4812,188030190
2018,우울증,서울,은평구,여,80~89세,241,1639,71555640
2018,우울증,서울,은평구,여,90~99세,21,144,2853000
2018,우울증,서울,은평구,여,100세 이상,0,0,0
2018,우울증,서울,종로구,남,0~9세,11,19,1665140
2018,우울증,서울,종로구,남,10~19세,283,2126,242942520
2018,우울증,서울,종로구,남,20~29세,598,4075,297179480
2018,우울증,서울,종로구,남,30~39세,444,2310,172196900
